time,open,high,low,close,Volume,K,D
-1983000600,8.35,8.35,8.35,8.35,0,1.5054497501789637,19.44492616400604
-1980322200,8.39,8.39,8.39,8.39,0,0.633480722124077,7.755256160926045
-1977730200,8.1,8.1,8.1,8.1,0,0.633480722124077,0.9241370648090347
-1972459800,8.14,8.14,8.14,8.14,0,1.2811492251710712,0.8493702231397373
-1969781400,7.53,7.53,7.53,7.53,0,0.6476685030470135,0.8540994834473827
-1964511000,6.64,6.64,6.64,6.64,0,0.6476685030470135,0.8588287437550282
-1961832600,6.25,6.25,6.25,6.25,0,1.924386576016938e-14,0.4317790020313443
-1956562200,6.85,6.85,6.85,6.85,0,7.051014074847321,2.5662275259647847
-1948699800,7.24,7.24,7.24,7.24,0,18.113426157189583,8.388146744012309
-1946107800,7.63,7.63,7.63,7.63,0,32.856993140473286,19.34047779083673
-1943429400,7.64,7.64,7.64,7.64,0,40.643202985039245,30.53787409423404
-1940837400,7.92,7.92,7.92,7.92,0,50.632491481355395,41.377562535622644
-1935480600,8.17,8.17,8.17,8.17,0,63.74940293861798,51.67503246833754
-1932888600,8.27,8.27,8.27,8.27,0,82.24551235253806,65.54246892417048
-1927618200,9.03,9.03,9.03,9.03,0,94.527145107213,80.17402013278968
-1924939800,9.06,9.06,9.06,9.06,0,100.00000000000001,92.25755248658369
-1922261400,8.8,8.8,8.8,8.8,0,96.48522929777016,97.00412480166106
-1919842200,8.92,8.92,8.92,8.92,0,94.1955060173152,96.89357843836179
-1917163800,9.32,9.32,9.32,9.32,0,94.1955060173152,94.95874711080018
-1911893400,9.8,9.8,9.8,9.8,0,97.71027671954505,95.36709625139183
-1909301400,9.94,9.94,9.94,9.94,0,100.00000000000001,97.30192757895342
-1903944600,10.19,10.19,10.19,10.19,0,100.00000000000001,99.23675890651502
-1901352600,10.23,10.23,10.23,10.23,0,100.00000000000001,100.00000000000001
-1898674200,10.18,10.18,10.18,10.18,0,98.72668909422411,99.57556303140807
-1896082200,10.3,10.3,10.3,10.3,0,98.72668909422411,99.15112606281609
-1890725400,9.72,9.72,9.72,9.72,0,79.91041294575219,92.45459704473348
-1888306200,9.96,9.96,9.96,9.96,0,66.07892425270954,81.57200876422861
-1885627800,9.72,9.72,9.72,9.72,0,35.81898230167358,60.60277316671178
-1880357400,9.1,9.1,9.1,9.1,0,21.30192511681216,41.0666105570651
-1877765400,8.64,8.64,8.64,8.64,0,3.0733913822973946,20.06476626692771
-1875087000,8.85,8.85,8.85,8.85,0,3.6418164909583246,9.339044330022618
-1872408600,8.91,8.91,8.91,8.91,0,8.333055280031187,5.016087717762294
-1867138200,9.31,9.31,9.31,9.31,0,19.727232871377495,10.567368214122327
-1864546200,9.05,9.05,9.05,9.05,0,23.06053025640398,17.04027280260421
-1859189400,9.43,9.43,9.43,9.43,0,31.424738420375803,24.73750051605242
-1856770200,9.32,9.32,9.32,9.32,0,31.123253295816113,28.53617399086529
-1851499800,9.48,9.48,9.48,9.48,0,37.838477538280536,33.46215641815748
-1848821400,9.67,9.67,9.67,9.67,0,41.497974622874814,36.81990181899048
-1843551000,9.17,9.17,9.17,9.17,0,41.014461769176094,40.11697131011047
-1840872600,8.67,8.67,8.67,8.67,0,27.324123650726886,36.61218668092592
-1835602200,9.07,9.07,9.07,9.07,0,22.990365496048724,30.44298363865056
-1833010200,9.11,9.11,9.11,9.11,0,27.075445527549117,25.79664489144157
-1830331800,9.12,9.12,9.12,9.12,0,42.1143876817755,30.726732901791113
